trade_date,total_pnl,avg_pnl,win_rate,total_volume_usd,trade_count,avg_fee,date_only,classification,sentiment_value
2023-05-01,0.0,0.0,0.0,477.0,3,0.0,2023-05-01,Greed,63.0
2023-12-05,0.0,0.0,0.0,50005.83,9,1.3890505555555555,2023-12-05,Extreme Greed,75.0
2023-12-14,-205.43473700000007,-18.675885181818188,0.36363636363636365,113203.35,11,2.5728028181818186,2023-12-14,Greed,72.0
2023-12-15,-24.632033999999997,-12.316016999999999,0.0,10609.95,2,1.3262445,2023-12-15,Greed,70.0
2023-12-16,0.0,0.0,0.0,15348.77,3,1.279063,2023-12-16,Greed,67.0
2023-12-17,304.982785,21.78448464285714,0.5,116278.02,14,2.076392785714286,2023-12-17,Greed,73.0
2023-12-18,0.0,0.0,0.0,31164.179999999997,2,3.8955225,2023-12-18,Greed,65.0
2023-12-19,1000.5386120000001,66.70257413333334,0.6666666666666666,91602.41,15,1.5267064,2023-12-19,Greed,73.0
2023-12-20,162.732282,9.040682333333333,0.4444444444444444,141636.79,18,1.9671770555555557,2023-12-20,Greed,74.0
2023-12-21,537.211402,10.963498000000001,0.5306122448979592,125233.97,49,0.6389483469387754,2023-12-21,Greed,70.0
2023-12-22,141.832675,14.1832675,0.2,88874.28,10,2.2218566,2023-12-22,Greed,74.0
2023-12-23,146.936704,11.302823384615383,0.6153846153846154,78438.25,13,1.5084273076923078,2023-12-23,Greed,70.0
2023-12-24,1008.619956,25.862050153846155,0.38461538461538464,402954.94,39,2.5830439743589744,2023-12-24,Greed,71.0
2023-12-25,-245.081348,-81.69378266666666,0.0,59948.51,3,4.995708333333333,2023-12-25,Greed,73.0
2023-12-27,-704.8892269999999,-25.174615249999995,0.14285714285714285,171411.06,28,1.53045525,2023-12-27,Greed,73.0
2023-12-28,-970.730876,-42.20569026086957,0.0,100117.25,23,1.0882304347826086,2023-12-28,Greed,73.0
2023-12-29,508.92214299999995,10.178442859999999,0.3,569559.72,50,2.8477980200000004,2023-12-29,Greed,65.0
2023-12-30,354.998648,6.826897076923077,0.4423076923076923,702550.21,52,3.377644730769231,2023-12-30,Greed,68.0
2024-01-01,-129.53146,-7.196192222222223,0.05555555555555555,264239.52999999997,18,3.6699926111111107,2024-01-01,Greed,65.0
2024-01-02,783.979116,46.11641858823529,0.47058823529411764,121348.74,17,1.7845397647058823,2024-01-02,Greed,71.0
2024-01-03,866.015507,12.925604582089552,0.417910447761194,394499.36,67,1.4720121044776118,2024-01-03,Greed,70.0
2024-01-04,-67.60364,-13.520728,0.0,99792.54000000001,5,4.989626400000001,2024-01-04,Greed,68.0
2024-01-05,164.141565,2.486993409090909,0.19696969696969696,1703942.66,66,6.4543278636363635,2024-01-05,Greed,72.0
2024-01-06,135.58166400000002,6.16280290909091,0.45454545454545453,298521.4,22,3.3922882727272725,2024-01-06,Greed,70.0
2024-01-07,-835.681235,-8.615270463917525,0.09278350515463918,1048850.06,97,2.7032212783505156,2024-01-07,Greed,71.0
2024-01-08,-269.874439,-2.1083940546875,0.25,1522452.43,128,2.9735395625,2024-01-08,Greed,71.0
2024-01-09,-826.349863,-11.804998042857143,0.2571428571428571,870051.97,70,2.9144704,2024-01-09,Extreme Greed,76.0
2024-01-10,-1517.091342,-7.860576901554404,0.21243523316062177,2057479.48,193,2.2489371243523317,2024-01-10,Greed,73.0
2024-01-11,-164.08950099999998,-7.813785761904761,0.23809523809523808,305314.1,21,3.6127224285714283,2024-01-11,Extreme Greed,76.0
2024-01-12,-1925.519024,-275.0741462857143,0.0,200082.27,7,7.068675285714285,2024-01-12,Greed,71.0
2024-01-15,152.85358,10.918112857142857,0.6428571428571429,50636.1,14,0.9037651428571428,2024-01-15,Neutral,52.0
2024-01-16,-2299.171458,-255.4634953333333,0.3333333333333333,116427.33,9,1.9243676666666667,2024-01-16,Greed,64.0
2024-01-17,813.2741110000001,15.344794547169812,0.20754716981132076,800831.03,53,3.0133510566037733,2024-01-17,Greed,60.0
2024-01-18,68.93319,1.4985476086956522,0.06521739130434782,424631.52999999997,46,2.014302195652174,2024-01-18,Greed,63.0
2024-01-19,-385.419235,-8.029567395833334,0.125,428428.97,48,1.9385805833333334,2024-01-19,Neutral,51.0
2024-01-20,-146.57487000000003,-1.3827817924528305,0.14150943396226415,1070090.51,106,2.5237979528301886,2024-01-20,Neutral,52.0
2024-01-21,266.58114600000005,24.234649636363642,0.2727272727272727,103129.74,11,2.343857272727273,2024-01-21,Greed,56.0
2024-01-22,1375.640959,16.18401128235294,0.27058823529411763,337878.99,85,0.7938619764705882,2024-01-22,Greed,55.0
2024-01-23,-369.2447299999998,-8.20543844444444,0.24444444444444444,414518.93000000005,45,1.9049904444444445,2024-01-23,Neutral,50.0
2024-01-24,-2808.353815,-41.29932080882353,0.14705882352941177,965084.59,68,3.3495749264705883,2024-01-24,Neutral,48.0
2024-01-25,-3093.6293849999997,-515.6048975,0.0,66566.13,6,2.773588666666667,2024-01-25,Neutral,52.0
2024-01-26,90.2,18.04,0.2,11773.21,5,0.088847,2024-01-26,Neutral,49.0
2024-01-28,-2478.06972,-225.27906545454545,0.0,18109.03,11,-0.03292509090909091,2024-01-28,Neutral,54.0
2024-01-29,486.562542,6.5751694864864865,0.6081081081081081,414208.18,74,1.395440608108108,2024-01-29,Greed,55.0
2024-01-30,-173.65419100000003,-3.5439630816326537,0.10204081632653061,401011.38,49,2.045975714285714,2024-01-30,Greed,61.0
2024-01-31,-799.840817,-0.93113017112922,0.2689173457508731,6305647.13,859,1.8037386204889407,2024-01-31,Greed,60.0
2024-02-01,0.0,0.0,0.0,2008.18,6,0.08367399999999998,2024-02-01,Greed,63.0
2024-02-02,456.423473,10.867225547619048,0.30952380952380953,474278.43,42,2.1802294285714288,2024-02-02,Greed,63.0
2024-02-03,223.30918699999998,3.9876640535714283,0.10714285714285714,603820.0,56,1.9582562321428572,2024-02-03,Greed,60.0
2024-02-04,47.62389499999999,1.360682714285714,0.2571428571428571,203187.53,35,1.4436251428571427,2024-02-04,Greed,60.0
2024-02-05,-33.45419400000003,-0.4646415833333337,0.19444444444444445,770198.26,72,2.299298125,2024-02-05,Greed,60.0
2024-02-06,-215.615907,-0.19817638511029412,0.1645220588235294,8047153.41,1088,0.9086461369485294,2024-02-06,Greed,64.0
2024-02-07,241.24212,16.082808,0.13333333333333333,6758.73,15,0.022646200000000002,2024-02-07,Greed,62.0
2024-02-08,770.756024,77.07560240000001,0.4,26051.12,10,0.3002887,2024-02-08,Greed,66.0
2024-02-11,983.443176,28.924799294117648,0.20588235294117646,212311.82,34,0.7339791764705882,2024-02-11,Greed,71.0
2024-02-12,913.8817869999998,57.11761168749999,0.375,227247.69999999998,16,1.6944944375,2024-02-12,Greed,70.0
2024-02-13,559.44389,39.960277857142856,1.0,1999.99,14,-0.0028565714285714284,2024-02-13,Extreme Greed,79.0
2024-02-14,3830.599833,34.509908405405405,0.7477477477477478,320839.88,111,0.20646372972972976,2024-02-14,Greed,74.0
2024-02-15,1840.797677,29.219010746031746,0.9047619047619048,185188.04,63,0.4874015396825397,2024-02-15,Greed,72.0
2024-02-16,5491.768834,30.174554032967034,0.8021978021978022,564896.51,182,0.14958884615384616,2024-02-16,Greed,72.0
2024-02-17,1929.6418,20.52810425531915,0.648936170212766,406118.07,94,0.6601601382978723,2024-02-17,Extreme Greed,76.0
2024-02-18,477.6248299999999,4.923967319587628,0.6288659793814433,157048.17,97,-0.032380670103092785,2024-02-18,Greed,72.0
2024-02-19,4317.768563,42.750183792079206,0.7623762376237624,286377.2,101,0.14705564356435644,2024-02-19,Extreme Greed,75.0
2024-02-20,3263.628824,83.68279035897436,0.7948717948717948,119419.72,39,0.07881217948717949,2024-02-20,Greed,72.0
2024-02-21,1858.7985700000002,84.49084409090909,0.6818181818181818,108047.51999999999,22,0.13502859090909092,2024-02-21,Extreme Greed,78.0
2024-02-22,3894.1050699999996,44.25119397727272,0.45454545454545453,373033.87,88,0.28923386363636366,2024-02-22,Greed,74.0
2024-02-23,1418.55293,9.91995055944056,0.958041958041958,111106.14,143,-0.014455027972027973,2024-02-23,Extreme Greed,76.0
2024-02-25,-30.7705,-6.1541,0.0,4480.13,5,-0.01792,2024-02-25,Greed,74.0
2024-02-26,4416.8473,113.25249487179488,0.8717948717948718,192187.14,39,-0.002505769230769226,2024-02-26,Greed,72.0
2024-02-27,888.511733,14.103360841269842,0.4126984126984127,209362.3,63,-0.05970807936507937,2024-02-27,Extreme Greed,79.0
2024-02-28,2503.747235,55.63882744444444,0.8666666666666667,171107.13,45,-0.030603377777777777,2024-02-28,Extreme Greed,82.0
2024-02-29,9813.996992,84.60342234482759,0.8620689655172413,395666.73,116,0.01171625,2024-02-29,Extreme Greed,80.0
2024-03-01,8244.241409,60.176944591240876,0.9343065693430657,472974.7,137,-0.00399163503649635,2024-03-01,Extreme Greed,80.0
2024-03-02,230.90060000000005,7.448406451612905,0.6774193548387096,63197.56,31,-0.0151331935483871,2024-03-02,Extreme Greed,80.0
2024-03-03,8361.086245,105.83653474683545,0.6835443037974683,390745.68,79,-0.031735481012658225,2024-03-03,Extreme Greed,83.0
2024-03-04,27799.775742,92.66591914,0.8866666666666667,1577996.87,300,-0.0018648299999999998,2024-03-04,Extreme Greed,82.0
2024-03-05,19791.026041,109.95014467222222,0.9055555555555556,841810.32,180,-0.024658105555555556,2024-03-05,Extreme Greed,90.0
2024-03-06,6814.825139,83.10762364634145,0.8780487804878049,327218.02,82,-0.04091851219512195,2024-03-06,Extreme Greed,75.0
2024-03-08,4271.886236,63.7594960597015,0.8805970149253731,183583.18,67,-0.0548004328358209,2024-03-08,Extreme Greed,81.0
